DLL Path: C:\Windows\System32\msdart.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?GetBucketLockSpinCount@CLKRLinearHashTable@@QEBAGXZ                                                 0x3901e7b3                                         
?GetDefaultSpinAdjustmentFactor@CCritSec@@SANXZ                                                      0xf3d20e45                                         
?GetDefaultSpinAdjustmentFactor@CFakeLock@@SANXZ                                                     0x2ffdc8d8                                         
?GetDefaultSpinAdjustmentFactor@CReaderWriterLock2@@SANXZ                                            0xf379aca3                                         
?GetDefaultSpinAdjustmentFactor@CReaderWriterLock3@@SANXZ                                            0xdfbb8184                                         
?GetDefaultSpinAdjustmentFactor@CReaderWriterLock3AR@@SANXZ                                          0x152566d7                                         
?GetDefaultSpinAdjustmentFactor@CReaderWriterLock@@SANXZ                                             0x3e5e4511                                         
?GetDefaultSpinAdjustmentFactor@CSmallSpinLock@@SANXZ                                                0xee7f04f4                                         
?GetDefaultSpinAdjustmentFactor@CSpinLock@@SANXZ                                                     0x0d31f17b                                         
?GetDefaultSpinCount@CCritSec@@SAGXZ                                                                 0x7ce48929                                         
?GetDefaultSpinCount@CFakeLock@@SAGXZ                                                                0xdb63591c                                         
?GetDefaultSpinCount@CReaderWriterLock2@@SAGXZ                                                       0x9b973947                                         
?GetDefaultSpinCount@CReaderWriterLock3@@SAGXZ                                                       0x87d90e28                                         
?GetDefaultSpinCount@CReaderWriterLock3AR@@SAGXZ                                                     0x3b573a3b                                         
?GetDefaultSpinCount@CReaderWriterLock@@SAGXZ                                                        0x14eab055                                         
?GetDefaultSpinCount@CSmallSpinLock@@SAGXZ                                                           0x7c4a1418                                         
?GetDefaultSpinCount@CSpinLock@@SAGXZ                                                                0xb89781bf                                         
?GetSpinCount@CCritSec@@QEBAGXZ                                                                      0x37df60a9                                         
?GetSpinCount@CFakeLock@@QEBAGXZ                                                                     0x48b58cbc                                         
?GetSpinCount@CReaderWriterLock2@@QEBAGXZ                                                            0x16b34e07                                         
?GetSpinCount@CReaderWriterLock3@@QEBAGXZ                                                            0x1abddf28                                         
?GetSpinCount@CReaderWriterLock3AR@@QEBAGXZ                                                          0xc1d75ebb                                         
?GetSpinCount@CReaderWriterLock@@QEBAGXZ                                                             0x86b16135                                         
?GetSpinCount@CSmallSpinLock@@QEBAGXZ                                                                0x013b2b98                                         
?GetSpinCount@CSpinLock@@QEBAGXZ                                                                     0x43966a1f                                         
?GetStatistics@CLKRHashTable@@QEBA?AVCLKRHashTableStats@@XZ                                          0x2cf1b1af                                         
?GetStatistics@CLKRLinearHashTable@@QEBA?AVCLKRHashTableStats@@XZ                                    0xe4b389ea                                         
?GetTableLockSpinCount@CLKRHashTable@@QEBAGXZ                                                        0x0833aaa2                                         
?GetTableLockSpinCount@CLKRLinearHashTable@@QEBAGXZ                                                  0x4f83ff5d                                         
?GetVersionExW@CMdVersionInfo@@SAHPEAU_OSVERSIONINFOW@@@Z                                            0x0e0b668f                                         
?HeadNode@CDoubleList@@QEBAQEBVCListEntry@@XZ                                                        0xdd164360                                         
?HeadNode@CLockedDoubleList@@QEBAQEBVCListEntry@@XZ                                                  0xaeaa98f2                                         
?Increment@CLKRHashTable_Iterator@@QEAA_NXZ                                                          0xc5639ea1                                         
?Increment@CLKRLinearHashTable_Iterator@@QEAA_NXZ                                                    0xf49f01dc                                         
?InitializeVersionInfo@CMdVersionInfo@@CAHXZ                                                         0xad75356c                                         
?Insert@CLKRHashTable@@QEAA_NPEBXAEAVCLKRHashTable_Iterator@@_N@Z                                    0x8901d94a                                         
?Insert@CLKRLinearHashTable@@QEAA_NPEBXAEAVCLKRLinearHashTable_Iterator@@_N@Z                        0x7cc34da0                                         
?InsertHead@CDoubleList@@QEAAXQEAVCListEntry@@@Z                                                     0x00355ead                                         
?InsertHead@CLockedDoubleList@@QEAAXQEAVCListEntry@@@Z                                               0xba61d5bf                                         
?InsertRecord@CLKRHashTable@@QEAA?AW4LK_RETCODE@@PEBX_NPEAPEBX@Z                                     0xf91abe4a                                         
?InsertRecord@CLKRLinearHashTable@@QEAA?AW4LK_RETCODE@@PEBX_NPEAPEBX@Z                               0x603bc185                                         
?InsertTail@CDoubleList@@QEAAXQEAVCListEntry@@@Z                                                     0xfc66e245                                         
?InsertTail@CLockedDoubleList@@QEAAXQEAVCListEntry@@@Z                                               0x18fdab57                                         
?IsEmpty@CDoubleList@@QEBA_NXZ                                                                       0xdfb7d2a1                                         
?IsEmpty@CLockedDoubleList@@QEBA_NXZ                                                                 0xabaecaf3                                         
?IsEmpty@CLockedSingleList@@QEBA_NXZ                                                                 0xd882983a                                         
?IsEmpty@CSingleList@@QEBA_NXZ                                                                       0x0c8b9fe8                                         
?IsLocked@CLockedDoubleList@@QEBA_NXZ                                                                0xe1d2b756                                         
?IsLocked@CLockedSingleList@@QEBA_NXZ                                                                0x0ea6849d                                         
?IsMillnm@CMdVersionInfo@@SAHXZ                                                                      0x55645dfd                                         
?IsReadLocked@CCritSec@@QEBA_NXZ                                                                     0x1f014096                                         
?IsReadLocked@CFakeLock@@QEBA_NXZ                                                                    0xafb673e9                                         
?IsReadLocked@CLKRHashTable@@QEBA_NXZ                                                                0xa2b2f6fe                                         
?IsReadLocked@CLKRLinearHashTable@@QEBA_NXZ                                                          0xc17ca399                                         
?IsReadLocked@CReaderWriterLock2@@QEBA_NXZ                                                           0x1be17674                                         
?IsReadLocked@CReaderWriterLock3@@QEBA_NXZ                                                           0xa13e2bb5                                         
