DLL Path: C:\Windows\System32\oobe\unbcl.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$Array@E@UnBCL@@IEAA@XZ                                                                          0xdaa69b90                                         
??0?$SmartPtr@VDecoder@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                                 0xb50eb0d8                                         
??0?$SmartPtr@VDecoder@UnBCL@@@UnBCL@@QEAA@PEAVDecoder@1@@Z                                          0x510e782c                                         
??0?$SmartPtr@VDecoder@UnBCL@@@UnBCL@@QEAA@XZ                                                        0x9221cc11                                         
??0?$SmartPtr@VEncoding@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                                0xd7f83509                                         
??0?$SmartPtr@VEncoding@UnBCL@@@UnBCL@@QEAA@PEAVEncoding@1@@Z                                        0xc5e8b8ae                                         
??0?$SmartPtr@VEncoding@UnBCL@@@UnBCL@@QEAA@XZ                                                       0xc9a31562                                         
??0?$SmartPtr@VObject@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                                  0x89b1c3f9                                         
??0?$SmartPtr@VObject@UnBCL@@@UnBCL@@QEAA@PEAVObject@1@@Z                                            0xfe202bce                                         
??0?$SmartPtr@VObject@UnBCL@@@UnBCL@@QEAA@XZ                                                         0x82289252                                         
??0?$SmartPtr@VSerializationId@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                         0x88fcb84d                                         
??0?$SmartPtr@VSerializationId@UnBCL@@@UnBCL@@QEAA@PEAVSerializationId@1@@Z                          0x1aea0ed6                                         
??0?$SmartPtr@VSerializationId@UnBCL@@@UnBCL@@QEAA@XZ                                                0x737a7d26                                         
??0?$SmartPtr@VSerializationStream@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                     0x963a16ac                                         
??0?$SmartPtr@VSerializationStream@UnBCL@@@UnBCL@@QEAA@PEAVSerializationStream@1@@Z                  0x338547d4                                         
??0?$SmartPtr@VSerializationStream@UnBCL@@@UnBCL@@QEAA@XZ                                            0x0398d865                                         
??0?$SmartPtr@VStream@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                                  0x5c59fd0e                                         
??0?$SmartPtr@VStream@UnBCL@@@UnBCL@@QEAA@PEAVStream@1@@Z                                            0x8ea21c18                                         
??0?$SmartPtr@VStream@UnBCL@@@UnBCL@@QEAA@XZ                                                         0xa4c60907                                         
??0?$SmartPtr@VString@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                                  0xfa6c54f9                                         
??0?$SmartPtr@VString@UnBCL@@@UnBCL@@QEAA@PEAVString@1@@Z                                            0x324cedce                                         
??0?$SmartPtr@VString@UnBCL@@@UnBCL@@QEAA@XZ                                                         0x45144352                                         
??0?$SmartPtr@VVersion@UnBCL@@@UnBCL@@QEAA@AEBV01@@Z                                                 0xabb06208                                         
